Medical Term,Meaning,llama_explanation
IUGR (Intrauterine Growth Restriction),Condition where a fetus grows more slowly than normal in the womb.,"When a baby is growing inside its mother's womb, it should gain weight and size normally. But sometimes, the baby doesn't grow as fast as it should, and stays smaller than usual. This can happen due to various reasons, and it's a concern because it can affect the baby's health."
IUT (Intrauterine Transfusion),Blood transfusion given to a fetus while still in the womb.,"During pregnancy, a baby may not get enough oxygen or nutrients from the mother's blood. To help, a thin tube is inserted through the mother's abdomen and into the uterus to give the baby a direct transfusion of healthy blood. This helps the baby grow strong and healthy until birth."
IV (Intravenous),Administration of fluids or medication through a vein.,"A way to give medicine or fluids directly into a person's bloodstream through a tiny tube inserted into a vein, usually in the arm. This helps the body absorb what it needs quickly and effectively."
IVC (Inferior Vena Cava),Large vein that carries deoxygenated blood from the lower body to the heart.,"

It's a big vein that carries blood from the lower parts of your body back to your heart. It's like a major highway that collects blood from your legs, belly, and other areas below your chest and sends it back to your heart so it can pump it out to the rest of your body again."
IVGT (Intravenous Glucose Tolerance Test),Test measuring how well the body processes glucose after intravenous glucose injection.,"This test checks how well your body uses sugar. A sugary liquid is injected into a vein, and then blood samples are taken at certain times to see how quickly your body absorbs the sugar. This helps doctors understand if your body is using sugar properly."
IVH (Intraventricular Hemorrhage),"Bleeding in the brain's ventricles, common in premature infants.","

""Bleeding in the brain occurs when tiny blood vessels inside the brain rupture, causing blood to flow into the spaces where fluid circulates. This can happen in fragile areas of the brain, often in premature babies, and can lead to serious health problems."""
IVI (Intravenous Infusion),"Process of delivering fluids, medications, or nutrients directly into the bloodstream via a vein.","

It's a way to give medicine or fluids directly into a person's bloodstream through a needle inserted into a vein. This helps the body get what it needs quickly and efficiently. It's often used in hospitals to help people feel better or recover from illness or surgery."
IVIG (Intravenous Immunoglobulin),A blood product used to treat immune system deficiencies or autoimmune diseases.,"IVIG is a treatment where healthy antibodies from donated blood are given to a person through a vein. These antibodies help fight infections and illnesses, boosting the person's immune system. It's like getting a special kind of medicine that helps your body fight off bad germs and get better."
JCA (Juvenile Chronic Arthritis),"A type of arthritis affecting children, leading to persistent joint inflammation.","It's a condition where children's joints (like knees, elbows, or hands) become swollen, painful, and stiff. It can make it hard for them to move or do everyday activities. It's like having a bad case of joint pain that doesn't go away."
JDM (Juvenile Dermatomyositis),A rare inflammatory disease in children causing muscle weakness and skin rash.,"This condition affects kids and teens, causing muscle weakness, skin rash, and swelling. It's like their immune system is mistakenly attacking their own muscles and skin, making it hard for them to move and causing painful skin problems."
JIA (Juvenile Idiopathic Arthritis),Chronic arthritis in children with an unknown cause.,"It's a condition where the body's immune system mistakenly attacks healthy joints in kids, causing them to become inflamed, painful, and swollen. This can make it hard for kids to move around, play, or even do simple tasks, and can lead to long-term joint damage if not treated properly."
JRA (Juvenile Rheumatoid Arthritis),Another term for juvenile idiopathic arthritis.,"It's a condition where the body's immune system mistakenly attacks healthy joints, causing pain, stiffness, and swelling. This can lead to joint damage and disability if left untreated. It usually affects children and teenagers, making everyday activities like walking or playing difficult."
JVP (Jugular Venous Pressure),"Measurement of the pressure in the jugular vein, indicating heart function.",It's a way to check the pressure of blood flowing back to the heart through the veins in the neck. Doctors do this by gently pressing on the skin of the neck to see how high the blood rises. This helps them figure out if the heart is pumping properly.
KS (Kallmann Syndrome),Genetic disorder that causes delayed or absent puberty and an impaired sense of smell.,"Some people are born with a rare condition that affects their development. They may not go through puberty normally, and their sense of smell might be weaker or missing. They might also have trouble with fertility and have some physical differences. It's a complex condition that can affect many areas of life."
LBW (Low Birth Weight),Babies born weighing less than 5.5 pounds (2.5 kg).,"When a baby is born, it's considered small if it weighs less than 5.5 pounds (2.5 kilograms). This can happen if the baby grows slowly in the womb or is born earlier than expected. Small babies might need extra care to stay healthy."
LCH (Langerhans Cell Histiocytosis),Rare disease where the immune system cells accumulate and form tumors.,"It's a rare disease where some cells in the body start to multiply quickly and gather in certain areas, like the bones, skin, and organs. This can cause problems like bone pain, skin rashes, and damage to organs, and can be serious if not treated."
LDH (Lactate Dehydrogenase),"Enzyme released during tissue damage, used as a marker in medical tests.","LDH is an enzyme that helps your body's cells make energy. It's like a tiny helper that converts food into fuel for your body. When cells are damaged or dying, they release this enzyme into the bloodstream, which can be a sign that something is wrong."
